id,label
1_06333_sedih_no_data.wav,sedih
1_06714_jijik_rendah.wav,jijik
1_00204_jijik_no_data.wav,jijik
1_05852_bahagia_no_data.wav,bahagia
1_02666_bahagia_no_data.wav,bahagia
1_00449_marah_no_data.wav,marah
2_08225_netral_sedang.wav,netral
1_00843_takut_no_data.wav,takut
1_07299_sedih_sedang.wav,sedih
1_06508_netral_no_data.wav,netral
2_07527_sedih_tinggi.wav,sedih
1_01260_bahagia_no_data.wav,bahagia
1_06523_jijik_no_data.wav,jijik
1_04275_takut_no_data.wav,takut
1_00983_takut_tinggi.wav,takut
1_01693_takut_no_data.wav,takut
1_06474_bahagia_rendah.wav,bahagia
1_02649_netral_no_data.wav,netral
1_03416_bahagia_no_data.wav,bahagia
2_08722_sedih_sedang.wav,sedih
1_05729_marah_sedang.wav,marah
1_03607_netral_no_data.wav,netral
1_00443_marah_no_data.wav,marah
1_01816_bahagia_no_data.wav,bahagia
1_07056_takut_no_data.wav,takut
2_08303_sedih_sedang.wav,sedih
1_03919_takut_no_data.wav,takut
1_00096_takut_sedang.wav,takut
1_03236_sedih_no_data.wav,sedih
1_06389_takut_rendah.wav,takut
1_01116_sedih_no_data.wav,sedih
1_03154_sedih_no_data.wav,sedih
1_02468_sedih_no_data.wav,sedih
1_00168_sedih_no_data.wav,sedih
1_04752_bahagia_tinggi.wav,bahagia
1_00557_takut_no_data.wav,takut
1_03363_sedih_rendah.wav,sedih
1_04913_takut_tinggi.wav,takut
2_08541_bahagia_tinggi.wav,bahagia
1_05741_sedih_rendah.wav,sedih
1_01363_marah_no_data.wav,marah
1_04843_takut_no_data.wav,takut
1_02607_takut_no_data.wav,takut
1_04947_marah_no_data.wav,marah
1_04547_netral_no_data.wav,netral
1_00440_bahagia_no_data.wav,bahagia
1_03650_bahagia_no_data.wav,bahagia
2_07971_jijik_tinggi.wav,jijik
1_05485_jijik_rendah.wav,jijik
1_07323_sedih_no_data.wav,sedih
1_02762_sedih_no_data.wav,sedih
1_02085_takut_no_data.wav,takut
1_06573_sedih_no_data.wav,sedih
1_04169_marah_tinggi.wav,marah
2_08735_marah_tinggi.wav,marah
1_06640_netral_no_data.wav,netral
1_06044_jijik_no_data.wav,jijik
1_06525_bahagia_no_data.wav,bahagia
2_08536_bahagia_sedang.wav,bahagia
1_02380_sedih_sedang.wav,sedih
1_06469_jijik_sedang.wav,jijik
1_05195_takut_no_data.wav,takut
2_08483_sedih_sedang.wav,sedih
1_03640_sedih_no_data.wav,sedih
1_03860_bahagia_no_data.wav,bahagia
1_00385_marah_no_data.wav,marah
2_08009_sedih_tinggi.wav,sedih
1_00643_marah_no_data.wav,marah
1_03379_takut_no_data.wav,takut
1_03157_takut_no_data.wav,takut
1_00015_bahagia_tinggi.wav,bahagia
1_03989_takut_no_data.wav,takut
1_04264_sedih_tinggi.wav,sedih
2_08438_takut_sedang.wav,takut
1_07233_bahagia_no_data.wav,bahagia
1_06989_sedih_no_data.wav,sedih
1_03367_takut_no_data.wav,takut
1_06708_netral_no_data.wav,netral
1_01617_takut_no_data.wav,takut
1_06280_netral_no_data.wav,netral
2_08784_sedih_sedang.wav,sedih
1_06069_sedih_rendah.wav,sedih
1_01500_bahagia_no_data.wav,bahagia
1_06762_marah_no_data.wav,marah
1_06593_jijik_no_data.wav,jijik
1_05418_bahagia_no_data.wav,bahagia
1_03801_takut_no_data.wav,takut
1_03472_jijik_no_data.wav,jijik
1_06250_netral_no_data.wav,netral
2_08105_netral_sedang.wav,netral
1_07252_netral_no_data.wav,netral
1_05944_jijik_no_data.wav,jijik
1_04680_bahagia_no_data.wav,bahagia
2_08627_jijik_sedang.wav,jijik
1_02322_sedih_no_data.wav,sedih
2_08056_bahagia_sedang.wav,bahagia
1_05350_sedih_no_data.wav,sedih
2_08001_bahagia_tinggi.wav,bahagia
1_07243_jijik_no_data.wav,jijik
2_08670_marah_sedang.wav,marah
1_05613_netral_no_data.wav,netral
1_00386_jijik_no_data.wav,jijik
1_00338_jijik_sedang.wav,jijik
1_07042_jijik_rendah.wav,jijik
1_03949_netral_no_data.wav,netral
1_02429_marah_no_data.wav,marah
1_05311_marah_no_data.wav,marah
1_01628_marah_rendah.wav,marah
2_08082_takut_tinggi.wav,takut
2_08621_takut_sedang.wav,takut
2_07783_takut_tinggi.wav,takut
1_01502_sedih_no_data.wav,sedih
1_03265_netral_no_data.wav,netral
1_03627_netral_no_data.wav,netral
1_05739_netral_no_data.wav,netral
1_04369_takut_no_data.wav,takut
1_04696_jijik_no_data.wav,jijik
2_07822_sedih_sedang.wav,sedih
1_01747_netral_no_data.wav,netral
1_06627_sedih_no_data.wav,sedih
1_04867_takut_no_data.wav,takut
1_03029_takut_sedang.wav,takut
1_07093_bahagia_no_data.wav,bahagia
1_00654_sedih_no_data.wav,sedih
1_05423_takut_no_data.wav,takut
1_01005_marah_no_data.wav,marah
1_04151_marah_no_data.wav,marah
2_07705_sedih_sedang.wav,sedih
1_04276_bahagia_no_data.wav,bahagia
1_04036_bahagia_no_data.wav,bahagia
1_06780_marah_no_data.wav,marah
1_01441_takut_no_data.wav,takut
1_06899_bahagia_no_data.wav,bahagia
1_06568_marah_no_data.wav,marah
1_06789_bahagia_no_data.wav,bahagia
1_06869_jijik_no_data.wav,jijik
1_01699_takut_no_data.wav,takut
1_01774_jijik_no_data.wav,jijik
1_02307_takut_no_data.wav,takut
1_04641_netral_no_data.wav,netral
2_08244_sedih_sedang.wav,sedih
2_08322_takut_tinggi.wav,takut
1_06327_sedih_no_data.wav,sedih
1_02856_sedih_no_data.wav,sedih
1_05569_takut_tinggi.wav,takut
2_08185_sedih_sedang.wav,sedih
1_00855_takut_no_data.wav,takut
1_04302_sedih_no_data.wav,sedih
1_00600_sedih_no_data.wav,sedih
1_05590_sedih_no_data.wav,sedih
2_08488_sedih_tinggi.wav,sedih
1_02854_bahagia_no_data.wav,bahagia
1_01061_marah_sedang.wav,marah
1_05317_marah_tinggi.wav,marah
1_06507_bahagia_no_data.wav,bahagia
1_06781_jijik_no_data.wav,jijik
1_06692_marah_no_data.wav,marah
1_03799_marah_no_data.wav,marah
1_05356_sedih_no_data.wav,sedih
1_00915_netral_no_data.wav,netral
1_06945_jijik_no_data.wav,jijik
1_00620_jijik_no_data.wav,jijik
1_06942_netral_no_data.wav,netral
1_07008_marah_no_data.wav,marah
2_08415_bahagia_sedang.wav,bahagia
1_02001_marah_no_data.wav,marah
1_02233_netral_no_data.wav,netral
1_03451_netral_no_data.wav,netral
1_02539_bahagia_rendah.wav,bahagia
2_08440_takut_sedang.wav,takut
1_02158_sedih_no_data.wav,sedih
1_01648_sedih_no_data.wav,sedih
2_07656_marah_tinggi.wav,marah
1_04062_sedih_no_data.wav,sedih
